luminaire 1, luminaire 2, luminaire 3
0.00       , 0.00       , 0.00
0.00       , 0.00       , 0.00
0.35       , 0.47       , 0.84
0.23       , 0.31       , 0.59
0.17       , 0.23       , 0.44
0.14       , 0.19       , 0.35
0.12       , 0.15       , 0.29
0.10       , 0.13       , 0.25
0.09       , 0.11       , 0.22
0.08       , 0.10       , 0.19
0.07       , 0.09       , 0.17
0.06       , 0.08       , 0.16
0.06       , 0.07       , 0.14
0.05       , 0.07       , 0.13
0.05       , 0.06       , 0.12
0.05       , 0.06       , 0.12
0.04       , 0.05       , 0.11
0.04       , 0.05       , 0.10
0.04       , 0.05       , 0.10
0.04       , 0.05       , 0.09
0.03       , 0.04       , 0.09
0.03       , 0.04       , 0.08
0.03       , 0.04       , 0.08
0.03       , 0.04       , 0.07
0.03       , 0.03       , 0.07
0.03       , 0.03       , 0.07
0.03       , 0.03       , 0.07
0.03       , 0.03       , 0.06
0.03       , 0.03       , 0.06
0.02       , 0.03       , 0.06
0.02       , 0.03       , 0.06
0.02       , 0.03       , 0.05
0.02       , 0.02       , 0.05
0.02       , 0.02       , 0.05
0.02       , 0.02       , 0.05
0.02       , 0.02       , 0.05
0.02       , 0.02       , 0.05
0.02       , 0.02       , 0.05
0.02       , 0.02       , 0.04
0.02       , 0.02       , 0.04
